,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
7:00am-7:30am,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST
7:30am-8:00am,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST
8:00am-8:30am,,CN,SE,SE,CN,SE,
8:30am-9:00am,,CN,SE,SE,CN,SE,
9:00am-9:30am,,CG,OS,OS,CG,OS,
9:30am-10:00am,,CG,OS,OS,CG,OS,
10:00am-10:30am,,CD,CG,CG,CD,CG,
10:30am-11:00am,,CD,CG,CG,CD,CG,
11:00am-11:30am,,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,
11:30am-12:00pm,,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,
12:00pm-12:30pm,,OS,LAB,LAB,OS,LAB,
12:30pm-1:00pm,,OS,LAB,LAB,OS,LAB,
1:00pm-1:30pm,LUNCH,SE,LAB,LAB,SE,LAB,LUNCH
1:30pm-2:00pm,LUNCH,SE,LAB,LAB,SE,LAB,LUNCH
2:00pm-2:30pm,,CN,LAB,LAB,CN,LAB,
2:30pm-3:00pm,,CN,LAB,LAB,CN,LAB,
3:00pm-3:30pm,,NC,NC,NC,NC,NC,
3:30pm-4:00pm,,NC,NC,NC,NC,NC,
4:00pm-4:30pm,,,,,,,
4:30pm-5:00pm,,,,,,,
5:00pm-5:30pm,NC,,,,,,
5-30pm-6:00pm,NC,,,,,NC,
6:00pm-6:30pm,,,,,,NC,NC
6:30pm-7:00pm,,,,NC,,,NC
7:00pm-7:30pm,,NC,,NC,,,NC
7:30pm-8:00pm,,NC,,,NC,,
8:00pm-8:30pm,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER
8:30pm-9:00pm,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER
9:00pm-9:30pm,,,,,NC,,
9:30pm-10:00pm,NC,,,NC,,,
10:00pm-10:30am,NC,,,NC,,,
10:30pm-11:00pm,,,,,,,
11:00pm-11:30pm,,,,,,,
11:30am-12:00am,,,,,,,
